NumberFrom;NumberTo;Owner;MNC;RN;OperatorDSC;RowCount
998330000000;998339999999;"Humans";10;D10;"Виртуальный оператор мобильной связи Humans";191
998770000000;998779999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998880000000;998889999999;"Mobiuz";07;D07;"Оператор мобильной связи Mobiuz";191
998900000000;998909999999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998910000000;998919999999;"Beeline";04;D04;"Оператор мобильной связи Beeline";191
998930000000;998939999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998940000000;998949999999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998970000000;998979999999;"Mobiuz";07;D07;"Оператор мобильной связи Mobiuz";191
998990000000;998999999999;"Uzmobile";08;D08;"Оператор мобильной связи Uzmobile";191
998500710000;998500719999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505540000;998505549999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500540000;998500549999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507030000;998507039999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500780000;998500789999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505020000;998505029999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500740000;998500749999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507750000;998507759999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500700000;998500709999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505040000;998505049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500730000;998500739999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505520000;998505529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507010000;998507019999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500760000;998500769999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505030000;998505039999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500520000;998500529999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500790000;998500799999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507060000;998507069999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500510000;998500519999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507040000;998507049999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500550000;998500559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500750000;998500759999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500770000;998500779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507020000;998507029999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505050000;998505059999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507000000;998507009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507070000;998507079999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500530000;998500539999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507050000;998507059999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500720000;998500729999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505530000;998505539999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507760000;998507769999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505500000;998505509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505000000;998505009999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505010000;998505019999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505510000;998505519999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998505550000;998505559999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998507770000;998507779999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500500000;998500509999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998500000000;998500109999;"Ucell";05;D05;"Оператор мобильной связи Ucell";191
998781200000;998781209999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781400000;998781419999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782220000;998782220999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782308000;998782308999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782960000;998782960999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998785780000;998785780999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998785980000;998785980999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998786112000;998786112999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998786710000;998786710999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787175000;998787175999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787806000;998787806999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998789120000;998789120999;"Buzton";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998787000000;998787009999;"Dildora_F";;;"Оператор фиксированной связи (не участвует в процессе переноса, Turon Telecom)";191
998781290000;998781299999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781470000;998781489999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998781500000;998781509999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782100000;998782101999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
998782210000;998782211999;"East_Telecom";;;"Оператор фиксированной связи (не участвует в процессе переноса)";191
